sample_ID,plot,plot_no,niche,treatment,sample_no,1.5s_peak_area,known,notes
2023_06_12_REH_FertNfix_001,standard,,,,5 ppm,18289.9,5,06 12
2023_06_12_REH_FertNfix_002,standard,,,,5 ppm,18669,5,
2023_06_12_REH_FertNfix_003,standard,,,,5 ppm,18343.8,5,
2023_06_12_REH_FertNfix_004,standard,,,,10 ppm,90036.1,10,
2023_06_12_REH_FertNfix_005,standard,,,,10 ppm,88882.7,10,
2023_06_12_REH_FertNfix_006,standard,,,,10 ppm,90826.2,10,
2023_06_12_REH_FertNfix_007,standard,,,,25 ppm,253148.6,25,
2023_06_12_REH_FertNfix_008,standard,,,,25 ppm,252341.6,25,
2023_06_12_REH_FertNfix_009,standard,,,,25 ppm,258613.5,25,
2023_06_12_REH_FertNfix_010,standard,,,,100 ppm,1159584.3,100,
2023_06_12_REH_FertNfix_011,standard,,,,100 ppm,,100,1132563.8
2023_06_12_REH_FertNfix_012,standard,,,,100 ppm,1202608.4,100,
2023_06_12_REH_FertNfix_013,standard,,,,100 ppm,1209716.2,100,
2023_06_12_REH_FertNfix_014,standard,,,,100 ppm,1204139.8,100,
2023_06_12_REH_FertNfix_015,Huck,1,soil,C,1,10123.3,4.326164,
2023_06_12_REH_FertNfix_016,Huck,1,soil,C,2,24699.4,5.492252,
2023_06_12_REH_FertNfix_017,Huck,1,wood,C,1,11391.2,4.427596,
2023_06_12_REH_FertNfix_018,Huck,1,wood,C,2,15182.3,4.730884,
2023_06_12_REH_FertNfix_019,Huck,1,Oi,C,1,18441.7,4.991636,
2023_06_12_REH_FertNfix_020,Huck,1,Oi,C,2,15258,4.73694,
2023_06_12_REH_FertNfix_021,Huck,1,poju,C,1,69927.5,9.1105,
2023_06_12_REH_FertNfix_022,Huck,1,poju,C,2,6741.5,4.05562,
2023_06_12_REH_FertNfix_023,Huck,1,poju,C,3,0,3.5163,
2023_06_12_REH_FertNfix_024,Huck,1,peca,C,1,6177.7,4.010516,
2023_06_12_REH_FertNfix_025,Huck,1,peca,C,2,422987.6,37.355308,
2023_06_12_REH_FertNfix_026,Huck,1,peca,C,3,5839502,470.67646,
2023_06_12_REH_FertNfix_027,Huck,1,peca,50,1,518897.5,45.0281,
2023_06_12_REH_FertNfix_028,Huck,1,peca,50,2,1184839.8,98.303484,
2023_06_12_REH_FertNfix_029,Huck,1,peca,50,3,10014691.8,804.691644,
2023_06_12_REH_FertNfix_030,Huck,1,soil,50,1,95766.1,11.177588,
2023_06_12_REH_FertNfix_031,Huck,1,soil,50,2,28362,5.78526,
2023_06_12_REH_FertNfix_032,Huck,1,wood,50,1,49763.3,7.497364,
2023_06_12_REH_FertNfix_033,Huck,1,wood,50,2,20297.2,5.140076,
2023_06_12_REH_FertNfix_034,Huck,1,Oi,50,1,13944.6,4.631868,
2023_06_12_REH_FertNfix_035,Huck,1,Oi,50,2,19508.4,5.076972,
2023_06_12_REH_FertNfix_046,standard,,,,5 ppm,20557.7,5.160916,06 13
2023_06_12_REH_FertNfix_047,standard,,,,5 ppm,19223.5,5.05418,
2023_06_12_REH_FertNfix_048,standard,,,,5 ppm,17868.4,4.945772,
2023_06_12_REH_FertNfix_049,standard,,,,10 ppm,78174.9,9.770292,
2023_06_12_REH_FertNfix_050,standard,,,,10 ppm,89254.2,10.656636,
2023_06_12_REH_FertNfix_051,standard,,,,10 ppm,81157.4,10.008892,
2023_06_12_REH_FertNfix_052,standard,,,,25 ppm,231213.9,22.013412,
